Speaker Name,Start Time,End Time,Text,,,Translation
Hélène,00:00:01.12,00:00:02.03,Comment on s'est rencontré... Dans quelles circonstances ?,,,How did we meet... Under what circumstances?
Gaëtane,00:00:06.12,00:00:08.03,On s'est rencontrés aux Beaux-Arts.,,,We met at the Beaux-Arts.
Hélène,00:00:08.05,00:00:19.50,"Aux Beaux-Arts, Poterie, c'est à dire à l'école de poterie des Beaux-Arts de Nîmes, pour travailler la terre.  ",,,"At the Beaux-Arts, Pottery, that is to say at the pottery school of the Beaux-Arts of Nîmes, to work the earth. "
Hélène,00:00:19.50,00:00:30.30,"Donc, toi tu es très vite arrivée d'ailleurs, je ne t'ais même pas repérée. J'étais tellement... J'étais préoccupée par ma boule de terre",,,"So, you arrived very quickly, I didn't even notice you. "
Hélène,00:00:30.30,00:00:41.03,"et moi, je suis arrivée à tourner peut être plus vite et je tournais des pots que tu rendais des œuvres d'art.",,,"I was so... I was preoccupied with my ball of clay and I, I managed to turn maybe faster and I turned pots that you made into works of art."
Gaëtane,00:00:44.07,00:00:58.50,Alors je... Ça fait longtemps que je voulais faire de la poterie parce que j'en avais fait un peu à l'école en Angleterre et je sentais que c'était presque ma vocation. La poterie. ,,,So I... I've wanted to do pottery for a long time because I did a bit of it at school in England and I felt like it was almost my calling. Pottery. 
Gaëtane,00:00:58.50,00:01:20.30,"Et alors ? Je suis allée aux Beaux-Arts, alors à l'occasion d'une rencontre avec un jeune homme qui était l'ami intime de mon amie Christine, qui étudiait la médecine avec moi.  ",,,"So? I went to the Beaux-Arts, so on the occasion of a meeting with a young man who was a close friend of my friend Christine, who was studying medicine with me. "
Gaëtane,00:01:20.30,00:01:29.14,"Et on est allé tous les deux. Et là, je me suis vite séparée de lui.",,,"And we both went. And then, I quickly separated from him."
Hélène,00:01:29.14,00:01:33.05,Tu es sûre qu'il ne s'est pas séparé de toi ?,,,Are you sure he didn't separate from you?
Gaëtane,00:01:33.07,00:01:47.00,J'ai vu que il rentré pas du tout dans le cadre et moi je me suis intégrée parmi ceux du beaux arts. ,,,I saw that he didn't fit in at all and I integrated myself among those of the fine arts. 
Gaëtane,00:01:47.00,00:01:55.20,"J'ai connu Hélène parce que je suis rentrée un petit peu tard, un soir et Hélène m'a dit <Je te raccompagne chez toi.>  ",,,"I met Hélène because I came home a little late one evening and Hélène said to me ""I'll walk you home."" "
Gaëtane,00:01:55.20,00:02:02.09,"Avec la prof. Je crois qu'il y avait la prof aussi. Tu as accompagné aussi la prof, sois le train, sois...",,,"With the teacher. I think the teacher was there too. You also accompanied the teacher, either on the train, or..."
Hélène,00:02:02.09,00:02:02.21,Taxi.  Taxi des Beaux Arts.,,,Taxi. Fine Arts Taxi.
Gaëtane,00:02:02.21,00:02:08.23,Elle faisait des taxis.,,,She was a taxi driver.
Hélène,00:02:09.01,00:02:16.12,Et au stupeur... Elle habitait en face de chez moi.  Et on s'était jamais rencontrés.,,,And to my amazement... She lived across the street from me. And we had never met.
Gaëtane,00:02:16.14,00:02:19.00,On était voisines.,,,We were neighbors.
