speaker-name,start-time,end-time,text,,translation
Gaëtane,00:00:00.09,00:00:33.22,"Et puis il s'est trouvé qu'elle est parti cet été là chez son père pendant trois semaines. Et moi, au bout de quelques jours, j'en pouvais plus. Je pouvais pas supporter qu'elle soit pas là. Et c'est là que son beau père, le beau père de René, m'a dit ""Mais tu sais, toi, tu pourrais aller chez ta grand mère au Canada et peut être tu serais mieux.""",,"And then it so happened that she went to her father's house for three weeks that summer. And after a few days, I couldn't take it anymore. I couldn't stand her not being there. And that's when her stepfather, René's stepfather, said to me, ""But you know, you could go to your grandmother's in Canada and maybe you'd be better off."""
Gaëtane,00:00:34.00,00:01:04.12,"Parce que c'est vrai que ma mère s'occupait pas tellement de nous quoi. Il m'a dit peut être là bas tu serais mieux et alors on a discuté avec ma mère et ma mère a dit ""Mais oui, mais je vais t'envoyer au Canada."" Elle ça l'arrangeait. Donc, elle m'a envoyé au Canada. Et puis, une fois là bas, elle a écrit.",,"Because it's true that my mother didn't really take care of us. He told me maybe you'd be better off there and then we talked with my mother and my mother said ""Yes, I'm going to send you to Canada."" That suited her. So, she sent me to Canada. And then, once there, she wrote."
Gaëtane,00:01:04.14,00:01:19.14,"""It would be a kindness to Gaëtane if she stayed."" Tu vois? Et Nell a décidé que oui, elle voulait bien avoir un cinquième enfant. Et c'était moi.",,"""It would be a kindness to Gaëtane if she stayed."" You see? And Nell decided that yes, she wanted to have a fifth child. And it was me."
Alicia,00:01:19.16,00:01:23.10,Et est ce qu'elle t'a expliquée plus que ça?,,And did she explain more to you than that?
Gaëtane,00:01:23.12,00:01:52.07,"Elle l'a pas expliqué plus que ça que ça. Et elle était pas au courant de mes tendances. D'ailleurs elle s'en est mordu les doigts, elle a dit quand même j'aurais pu avoir droit à une petite explication. Et évidemment, je suis tombée follement amoureuse de Nell. Mais vraiment. Gravement.",,"She didn't explain it much more than that. And she didn't know about my tendencies. Besides, she bit her fingers, she said anyway I could have had a little explanation. And of course, I fell madly in love with Nell. But really. Seriously."
Gaëtane,00:01:52.09,00:02:14.07,"Même, je pense que je l'aime encore. Et donc. Pour Nell, c'était un peu embêtant. Elle été en train de divorcer, elle se retrouver toute seule avec quatre enfants, avec moi en plus, qui aidait pas beaucoup.",,"Even, I think I still love her. And so. For Nell, it was a bit annoying. She was getting divorced, she was left alone with four children, with me on top of that, who didn't help much."
Gaëtane,00:02:14.09,00:02:40.06,"Et ça a été, ça a été extrêmement difficile pour elle et pour moi, parce que Nell avait un côté sadique qui n'arrangeait rien quoi. Donc comme je me tenais pas droite, elle se moquait de moi, de ma façon de marcher, des choses. Et à ce moment là, si on se moquait trop de moi, moi j'avais tendance à donner des coups de poings.",,"And it was, it was extremely difficult for her and for me, because Nell had a sadistic side that didn't help. So since I wasn't standing straight, she would make fun of me, of the way I walked, of things. And at that time, if they made fun of me too much, I tended to punch people."
Gaëtane,00:02:40.08,00:02:58.16,"Je réagissais, je réagissais physiquement, j'avais des colères physiques. Et donc ça arrivait qu'on se batte.",,"I would react, I would react physically, I would have physical tantrums. And so it would happen that we would fight."
Gaëtane,00:02:58.18,00:03:36.06,"Je traitais Erica comme j'avais l'impression que Nell me traitait. C'est à dire parfois, je pouvais la maltraiter un petit peu et. C'était très très difficile. Alors des fois, on m'envoyait chez Dora et pour moi, c'était la punition. Quand je t'ai envoyé chez Dora, tu sais que je t'ai punie. Voilà. Et. Les enfants de Dora, je crois, qui m'aimait bien et et m'accueillait toujours avec avec gentillesse.",,"I treated Erica the way I felt Nell treated me. That is to say, sometimes I could mistreat her a little bit and. It was very very difficult. So sometimes I was sent to Dora and for me, that was the punishment. When I sent you to Dora, you know that I punished you. That's it. And. Dora's children, I think, who loved me and always welcomed me with kindness."
Gaëtane,00:03:36.06,00:03:48.14,"J'avais l'impression qu'ils avaient été contents d'avoir une fille chez eux. Enfin, parce qu'ils étaient beaucoup de garçons.",,"I had the impression that they had been happy to have a girl in their home. Well, because there were a lot of boys."
Gaëtane,00:03:48.16,00:04:34.19,"Et puis un jour, j'ai dit à Nell à quel point, je l'aimais. J'avais quinze ans. Et Nell s'est dit c'est plus possible. Donc, elle a trouvé une école en Colombie-Britannique. C'était une école de type Summerhill, c'est à dire où on faisait ce qu'on voulait. Parce que j'avais déjà... J'avais déjà. Exprimé mon ambition de devenir un high school dropout. Parce que j'écoutais à la radio qu'on parlait beaucoup des High School dropout.",,"And then one day, I told Nell how much I loved her. I was fifteen. And Nell thought, this is not possible. So, she found a school in British Columbia. It was a Summerhill type school, where you could do whatever you wanted. Because I had already... I had already. Expressed my ambition to become a high school dropout. Because I was listening on the radio that there was a lot of talk about high school dropouts."
Gaëtane,00:04:34.22,00:05:06.13,"Et moi, j'avais besoin qu'on fasse un peu attention à moi.  Elle s'est dit que c'était peut être une bonne école pour moi. Donc on est allés là bas en avion et puis on a pris un hydravion pour se retrouver sur l'île de Saturna. Et puis. Là.",,And I needed a little attention. She thought it might be a good school for me. So we flew there and then we took a seaplane to Saturna Island. And then. There.
Gaëtane,00:05:06.15,00:05:13.12,Elle m'a laissé.  Elle était avec son copain. Et puis ils sont partis dans le même avion du soir.,,She left me. She was with her boyfriend. And then they left on the same evening plane.
